"","SiteCode","Year","Month","Highest_Temperature_C","Lowest_Temperature_C","AvgMin","AvgMax","numberoflogs_MYG10"
"209","FlagMarsh.Pigeon","2019","12",4.727,-2.377,0.665695652173913,1.78991304347826,0
"210","FlagMarsh.Pigeon","2020","06",16.713,11.916,13.3429285714286,15.5405714285714,1287
"211","FlagMarsh.Pigeon","2020","07",18.996,14.134,15.8022258064516,17.7935806451613,2976
"212","FlagMarsh.Pigeon","2020","08",19.092,12.594,15.6996129032258,17.2281935483871,2976
"213","FlagMarsh.Pigeon","2020","09",17.189,6.37,11.9847666666667,13.3059333333333,2276
"214","FlagMarsh.Pigeon","2020","10",12.207,5.347,8.72441935483871,9.95790322580645,961
"215","FlagMarsh.Pigeon","2020","11",11.528,1.003,4.8532,6.85726666666667,104
"216","FlagMarsh.Pigeon","2020","12",6.978,-8.182,0.0546774193548387,2.19532258064516,0
"217","FlagMarsh.Pigeon","2021","01",1.221,-12.509,-5.01006451612903,-1.34090322580645,0
"218","FlagMarsh.Pigeon","2021","02",0.121,-4.031,-1.02185714285714,-0.506678571428571,0
"219","FlagMarsh.Pigeon","2021","03",1.548,-2.727,-0.641,0.146083333333333,0
"220","Grandad.Hessler","2020","06",14.709,12.013,12.894375,14.157625,703
"221","Grandad.Hessler","2020","07",16.903,12.98,14.269064516129,15.8546774193548,2976
"222","Grandad.Hessler","2020","08",16.903,11.625,14.2405161290323,15.7250967741935,2976
"223","Grandad.Hessler","2020","09",15.76,6.573,11.6357,13.1783666666667,2387
"224","Grandad.Hessler","2020","10",13.269,5.655,8.74574193548387,10.2506451612903,1065
"225","Grandad.Hessler","2020","11",10.846,2.837,5.53333333333333,6.94663333333333,83
"226","Grandad.Hessler","2020","12",7.079,0.121,3.64574193548387,4.608,0
"227","Grandad.Hessler","2021","01",5.552,1.548,3.47083870967742,4.11638709677419,0
"228","Grandad.Hessler","2021","02",3.261,0.232,1.57957142857143,2.50739285714286,0
"229","Grandad.Hessler","2021","03",8.68,1.656,4.60441935483871,5.61303225806452,0
"230","Grandad.Hessler","2021","04",10.553,4.415,6.95983333333333,8.3691,103
"231","Grandad.Hessler","2021","05",12.98,7.079,8.92783870967742,10.2829677419355,1158
"232","Grandad.Hessler","2021","06",14.421,8.978,11.6777058823529,12.8458235294118,1514
"233","Lake.Elk","2018","06",19.187,12.013,14.7921,16.731,897
"234","Lake.Elk","2018","07",23.196,14.134,17.4082580645161,19.8207741935484,2976
"235","Lake.Elk","2018","08",24.351,11.041,18.6034516129032,21.5694516129032,2976
"236","Lake.Elk","2018","09",23.388,9.965,16.4837,18.8732666666667,2878
